Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2023 1 24 0 0.9385 0.2502 0.9715 1.0786 
2023 1 25 0 0.9498 0.2445 0.9691 1.0788 
2023 1 26 0 0.9626 0.2390 0.9668 1.0792 
2023 1 27 0 0.9747 0.2366 0.9659 1.0795 
2023 1 28 0 0.9858 0.2377 0.9667 1.0796 
2023 1 29 0 0.9963 0.2388 0.9674 1.0790 
2023 1 30 0 1.0066 0.2399 0.9683 1.0785 
2023 1 31 0 1.0148 0.2411 0.9693 1.0780 
2023 2 1 0 1.0210 0.2421 0.9703 1.0774 
2023 2 2 0 1.0274 0.2433 0.9716 1.0770 
2023 2 3 0 1.0313 0.2443 0.9728 1.0765 
2023 2 4 0 1.0332 0.2452 0.9739 1.0758 
2023 2 5 0 1.0343 0.2460 0.9750 1.0750 
2023 2 6 0 1.0347 0.2468 0.9760 1.0742 
2023 2 7 0 1.0346 0.2475 0.9770 1.0734 
2023 2 8 0 1.0343 0.2482 0.9780 1.0726 
2023 2 9 0 1.0348 0.2490 0.9791 1.0719 
2023 2 10 0 1.0356 0.2498 0.9803 1.0713 
2023 2 11 0 1.0367 0.2507 0.9815 1.0708 
2023 2 12 0 1.0381 0.2517 0.9828 1.0704 
2023 2 13 0 1.0392 0.2526 0.9840 1.0699 
2023 2 14 0 1.0401 0.2536 0.9853 1.0695 
2023 2 15 0 1.0397 0.2544 0.9865 1.0689 
2023 2 16 0 1.0388 0.2551 0.9876 1.0683 
2023 2 17 0 1.0392 0.2560 0.9889 1.0678 
2023 2 18 0 1.0401 0.2569 0.9901 1.0674 
2023 2 19 0 1.0414 0.2579 0.9915 1.0671 
2023 2 20 0 1.0430 0.2590 0.9929 1.0668 
2023 2 21 0 1.0447 0.2601 0.9944 1.0667 
2023 2 22 0 1.0452 0.2611 0.9958 1.0664 
2023 2 23 0 1.0461 0.2622 0.9972 1.0661 
2023 2 24 0 1.0474 0.2632 0.9986 1.0656 
2023 2 25 0 1.0505 0.2644 1.0001 1.0653 
2023 2 26 0 1.0578 0.2661 1.0018 1.0650 
2023 2 27 0 1.0667 0.2679 1.0035 1.0647 
2023 2 28 0 1.0711 0.2695 1.0052 1.0643 
2023 3 1 0 1.0726 0.2709 1.0068 1.0640 
2023 3 2 0 1.0724 0.2721 1.0082 1.0637 
2023 3 3 0 1.0710 0.2733 1.0095 1.0633 
2023 3 4 0 1.0523 0.2744 1.0117 1.0630 
2023 3 5 0 1.0223 0.2755 1.0147 1.0629 
2023 3 6 0 0.9942 0.2764 1.0173 1.0626 
2023 3 7 0 0.9641 0.2770 1.0196 1.0622 
2023 3 8 0 0.9337 0.2777 1.0218 1.0619 
2023 3 9 0 0.9025 0.2783 1.0239 1.0616 
2023 3 10 0 0.8706 0.2789 1.0259 1.0613 
2023 3 11 0 0.8382 0.2794 1.0277 1.0610 
2023 3 12 0 0.8063 0.2799 1.0296 1.0608 
2023 3 13 0 0.7744 0.2805 1.0313 1.0607 
